Genes	avg_logFC	pct.TM	pct.PB	pct.Difference	p_val	p_val_adj	
AC007620.3	-0.796537713	0	0.006	-0.006	0.058655064	1	
GNG11	-0.796537713	0	0.006	-0.006	0.058655064	1	
RP11-367G6.3	-0.796810629	0.057	0.125	-0.068	0.003188343	1	
R3HDM4	-0.797446152	0.3	0.606	-0.306	3.38E-13	6.22E-09	
RP1-39G22.7	-0.798422861	0.017	0.05	-0.033	0.018994603	1	
VHL	-0.798887404	0.092	0.181	-0.089	0.001011565	1	
HIST1H2AB	-0.798968814	0.005	0.012	-0.007	0.320757524	1	
GRAPL	-0.799833153	0.005	0.012	-0.007	0.319317267	1	
NHLRC3	-0.799860954	0.064	0.131	-0.067	0.004934487	1	
RP11-802O23.3	-0.800034635	0.002	0.006	-0.004	0.333723268	1	
CUL4A	-0.800336889	0.129	0.206	-0.077	0.005102437	1	
ZNF33B	-0.801034495	0.035	0.094	-0.059	0.002232764	1	
PPP2R2D	-0.802938565	0.042	0.094	-0.052	0.009770385	1	
KLF13	-0.803561593	0.073	0.15	-0.077	0.002401044	1	
ZNF326	-0.804034298	0.11	0.2	-0.09	0.001229304	1	
FBXO3	-0.805437991	0.105	0.212	-0.107	0.000219663	1	
EIF2D	-0.805440721	0.089	0.2	-0.111	0.000105726	1	
LOXL1	-0.806659289	0.007	0.038	-0.031	0.003455564	1	
DYRK2	-0.806760903	0.026	0.05	-0.024	0.124540006	1	
MPP5	-0.806862373	0.009	0.038	-0.029	0.008399537	1	
NBPF15	-0.807836767	0.11	0.231	-0.121	6.10E-05	1	
BZRAP1-AS1	-0.809192636	0.026	0.069	-0.043	0.010322792	1	
ITGB1	-0.809577214	0.51	0.731	-0.221	2.17E-13	4.00E-09	
FBXO46	-0.809587091	0.01	0.025	-0.015	0.157910837	1	
DEAF1	-0.810139214	0.01	0.031	-0.021	0.057394132	1	
EHBP1L1	-0.810350162	0.023	0.044	-0.021	0.138456272	1	
TRBV14	-0.811184486	0.003	0.012	-0.009	0.172585185	1	
KIAA1143	-0.811689075	0.146	0.325	-0.179	2.58E-07	0.004749663	
ZNF497	-0.811889787	0.003	0.006	-0.003	0.626634151	1	
POM121	-0.812028049	0.057	0.112	-0.055	0.013359197	1	
AC107218.3	-0.812377378	0	0.006	-0.006	0.058655064	1	
EDN3	-0.812377378	0	0.006	-0.006	0.058655064	1	
RP11-121C2.2	-0.812377378	0	0.006	-0.006	0.058655064	1	
NDUFB9	-0.813320499	0.49	0.719	-0.229	1.74E-14	3.21E-10	
GPALPP1	-0.813489114	0.057	0.144	-0.087	0.000291395	1	
RP11-440L14.4	-0.815400496	0	0.006	-0.006	0.058655064	1	
CTB-55O6.12	-0.816173918	0.026	0.062	-0.036	0.024909054	1	
GOLGA7	-0.817205223	0.277	0.481	-0.204	3.53E-08	0.000651028	
RP11-401P9.5	-0.818753336	0.005	0.012	-0.007	0.322202019	1	
AKAP7	-0.819707941	0.03	0.062	-0.032	0.046115457	1	
CH507-9B2.1	-0.819770657	0.003	0.006	-0.003	0.626634151	1	
RP11-464F9.20	-0.821093363	0.007	0.025	-0.018	0.05265956	1	
CSAD	-0.821631771	0.026	0.062	-0.036	0.024479482	1	
IGHE	-0.821975569	0	0.006	-0.006	0.058655064	1	
RP11-378J18.8	-0.821975569	0	0.006	-0.006	0.058655064	1	
CROCC	-0.822542591	0.017	0.031	-0.014	0.262360315	1	
CD47	-0.822828354	0.338	0.6	-0.262	4.67E-12	8.60E-08	
CTD-3096M3.1	-0.822902293	0.002	0.006	-0.004	0.333723268	1	
RB1	-0.823066835	0.157	0.325	-0.168	1.20E-06	0.022177887	
AC090587.5	-0.823321935	0.002	0.006	-0.004	0.333723268	1	
ALDH6A1	-0.82380937	0.021	0.056	-0.035	0.018056439	1	
TBC1D30	-0.824383892	0	0.006	-0.006	0.058655064	1	
TRBJ2-4	-0.824614765	0.003	0.006	-0.003	0.626634151	1	
ZNF594	-0.824923812	0.003	0.012	-0.009	0.171546785	1	
ADPRM	-0.824967387	0.063	0.138	-0.075	0.001669841	1	
SLC38A6	-0.825564339	0.033	0.088	-0.055	0.003580068	1	
ATPAF2	-0.826420255	0.04	0.075	-0.035	0.061033086	1	
AKAP2	-0.82694616	0.045	0.094	-0.049	0.016580493	1	
RP3-395M20.9	-0.826951621	0.003	0.012	-0.009	0.170513069	1	
CELSR2	-0.827038739	0	0.006	-0.006	0.058655064	1	
CTD-2267D19.3	-0.827038739	0	0.006	-0.006	0.058655064	1	
IFT122	-0.827791998	0.014	0.038	-0.024	0.054505322	1	
SPDYE3	-0.828314845	0	0.006	-0.006	0.058655064	1	
HELLS	-0.82853368	0.042	0.106	-0.064	0.001754024	1	
NTAN1	-0.829659863	0.077	0.175	-0.098	0.000250237	1	
ZNF582	-0.830186146	0.007	0.019	-0.012	0.174222356	1	
KBTBD11	-0.830684678	0.009	0.019	-0.01	0.280830767	1	
NUDT8	-0.831157865	0.007	0.019	-0.012	0.175017633	1	
VCPIP1	-0.831467647	0.059	0.144	-0.085	0.000403867	1	
JPX	-0.832358693	0.148	0.269	-0.121	0.000131345	1	
CXCR5	-0.83241527	0.007	0.025	-0.018	0.053524018	1	
RP11-159D12.2	-0.832513027	0.003	0.019	-0.016	0.038995843	1	
LRFN3	-0.833063301	0.002	0.012	-0.01	0.059710659	1	
ASH1L-AS1	-0.833424482	0.068	0.15	-0.082	0.00084706	1	
CD6	-0.834663686	0.249	0.444	-0.195	3.47E-07	0.006402767	
HEBP2	-0.835226688	0.101	0.206	-0.105	0.000245373	1	
ALS2CR12	-0.836849026	0.002	0.006	-0.004	0.333723268	1	
RP1-30M3.5	-0.836903565	0.002	0.012	-0.01	0.060229663	1	
RP5-1171I10.5	-0.837257493	0.134	0.225	-0.091	0.002864687	1	
ABCA3	-0.838317839	0	0.006	-0.006	0.058655064	1	
AC022201.5	-0.838317839	0	0.006	-0.006	0.058655064	1	
CCDC171	-0.838317839	0	0.006	-0.006	0.058655064	1	
LINC01259	-0.838317839	0	0.006	-0.006	0.058655064	1	
LINC00672	-0.838914217	0	0.006	-0.006	0.058655064	1	
C12orf66	-0.839475035	0.057	0.125	-0.068	0.002927215	1	
APPBP2	-0.840352154	0.07	0.169	-0.099	9.71E-05	1	
RP11-160H22.5	-0.84106087	0.005	0.019	-0.014	0.093709724	1	
PRKCQ	-0.841912861	0.136	0.312	-0.176	1.67E-07	0.003082143	
RFNG	-0.842145895	0.012	0.025	-0.013	0.232058294	1	
UBE2F	-0.842711329	0.084	0.162	-0.078	0.003279746	1	
STXBP5-AS1	-0.842752398	0	0.006	-0.006	0.058655064	1	
LRRK2	-0.842881861	0.003	0.012	-0.009	0.170513069	1	
PARP6	-0.843242531	0.071	0.15	-0.079	0.001409497	1	
MARCKSL1	-0.843341672	0.033	0.094	-0.061	0.001385252	1	
USP28	-0.844472971	0.03	0.044	-0.014	0.352063546	1	
UNC5CL	-0.844494241	0.005	0.019	-0.014	0.092655691	1	
ZBTB26	-0.845150075	0.016	0.031	-0.015	0.196374473	1	
RBL1	-0.845458781	0.044	0.1	-0.056	0.005626373	1	
CEP68	-0.846677553	0.049	0.119	-0.07	0.001497718	1	
EVL	-0.84680971	0.706	0.938	-0.232	1.71E-29	3.14E-25	
TRABD2A	-0.847722666	0.04	0.1	-0.06	0.002920491	1	
TMEM123	-0.847846242	0.343	0.588	-0.245	1.23E-11	2.26E-07	
ARL17A	-0.848024915	0.012	0.031	-0.019	0.092298011	1	
RP11-114F3.4	-0.848557995	0.002	0.006	-0.004	0.333723268	1	
TSPAN6	-0.848702226	0	0.006	-0.006	0.058655064	1	
RUFY2	-0.849175549	0.014	0.038	-0.024	0.053838033	1	
RASA4	-0.850105168	0.003	0.012	-0.009	0.169484028	1	
MYO1F	-0.85027424	0.171	0.375	-0.204	1.65E-08	0.000303155	
CHEK1	-0.851151778	0.017	0.056	-0.039	0.006468696	1	
CAMSAP2	-0.851582611	0.003	0.012	-0.009	0.171546785	1	
KHDC1	-0.852483037	0.01	0.031	-0.021	0.056351022	1	
KCNC3	-0.852843703	0.002	0.006	-0.004	0.333723268	1	
FAAP24	-0.854213317	0.007	0.019	-0.012	0.174222356	1	
FNIP2	-0.854377006	0.009	0.012	-0.003	0.65844078	1	
MYO18B	-0.855363165	0	0.006	-0.006	0.058655064	1	
RP11-218L14.4	-0.855363165	0	0.006	-0.006	0.058655064	1	
RP4-669L17.10	-0.855363165	0	0.006	-0.006	0.058655064	1	
THBS3	-0.855421251	0.007	0.012	-0.005	0.486340522	1	
RP11-837J7.4	-0.85624419	0.003	0.006	-0.003	0.626634151	1	
C12orf49	-0.856335044	0.03	0.062	-0.032	0.048274828	1	
SMAD3	-0.857055394	0.037	0.069	-0.032	0.070814261	1	
PGBD1	-0.857608185	0	0.006	-0.006	0.058655064	1	
RP5-874C20.8	-0.857608185	0	0.006	-0.006	0.058655064	1	
URGCP-MRPS24	-0.857608185	0	0.006	-0.006	0.058655064	1	
CAMK1D	-0.858270129	0.044	0.094	-0.05	0.011810783	1	
PURB	-0.85831064	0.031	0.062	-0.031	0.064426688	1	
SMN1	-0.858592329	0.014	0.038	-0.024	0.0540597	1	
ERICH6-AS1	-0.859057222	0.019	0.05	-0.031	0.031092365	1	
AGER	-0.859797905	0.009	0.025	-0.016	0.097354444	1	
LINC00891	-0.862103787	0.03	0.088	-0.058	0.001428333	1	
OVCH1-AS1	-0.862895505	0	0.006	-0.006	0.058655064	1	
S100A10	-0.863518041	0.848	0.981	-0.133	2.03E-31	3.73E-27	
AC093673.5	-0.863717483	0.002	0.012	-0.01	0.060229663	1	
RCOR1	-0.864161893	0.021	0.044	-0.023	0.105030495	1	
DFFB	-0.864691343	0.019	0.044	-0.025	0.072554966	1	
LINC01089	-0.865065369	0.129	0.306	-0.177	1.51E-07	0.002775003	
ZNF492	-0.865739537	0.003	0.012	-0.009	0.171546785	1	
PRR5-ARHGAP8	-0.866346912	0.002	0.006	-0.004	0.333723268	1	
NPIPA5	-0.866544684	0.005	0.012	-0.007	0.319317267	1	
SFSWAP	-0.867108032	0.096	0.219	-0.123	2.40E-05	0.441773198	
S100A8	-0.867143943	0.016	0.081	-0.065	1.79E-05	0.330193985	
KALRN	-0.867354765	0	0.006	-0.006	0.058655064	1	
FCGRT	-0.867715487	0.049	0.112	-0.063	0.002964855	1	
CCR9	-0.867739266	0	0.006	-0.006	0.058655064	1	
MAPK10	-0.867739266	0	0.006	-0.006	0.058655064	1	
RP11-706O15.1	-0.867739266	0	0.006	-0.006	0.058655064	1	
TMEM38A	-0.867739266	0	0.006	-0.006	0.058655064	1	
ZBTB42	-0.867739266	0	0.006	-0.006	0.058655064	1	
DCAF16	-0.868071394	0.106	0.212	-0.106	0.000215551	1	
LINC01146	-0.86813529	0.002	0.019	-0.017	0.010001206	1	
RP13-941N14.1	-0.868461642	0.002	0.006	-0.004	0.333723268	1	
TRPC3	-0.868943134	0.002	0.006	-0.004	0.333723268	1	
PTPN13	-0.87006624	0.003	0.019	-0.016	0.038162121	1	
SUN1	-0.870157094	0.064	0.144	-0.08	0.001117702	1	
ZNF511	-0.870403199	0.075	0.175	-0.1	0.000126114	1	
TMEM63A	-0.871139735	0.07	0.175	-0.105	5.99E-05	1	
PPARD	-0.871382454	0.035	0.088	-0.053	0.004947398	1	
LINC01315	-0.871404682	0.003	0.012	-0.009	0.170513069	1	
BBS10	-0.871796031	0.003	0.012	-0.009	0.170513069	1	
ATXN7L3	-0.871920719	0.026	0.075	-0.049	0.003920193	1	
POMGNT2	-0.872229373	0.003	0.012	-0.009	0.170513069	1	
ZNF185	-0.872882157	0.005	0.012	-0.007	0.319317267	1	
RP11-730K11.1	-0.873103911	0.003	0.012	-0.009	0.170513069	1	
NUDT11	-0.874071113	0	0.006	-0.006	0.058655064	1	
USP30	-0.874191949	0.014	0.05	-0.036	0.006121292	1	
RP11-392P7.6	-0.874843266	0.002	0.012	-0.01	0.060229663	1	
RECQL5	-0.876030695	0.01	0.025	-0.015	0.156678166	1	
ALKBH4	-0.876257872	0.038	0.094	-0.056	0.004529625	1	
RP5-966M1.6	-0.876387488	0.005	0.012	-0.007	0.319317267	1	
NUDT6	-0.877270233	0.005	0.019	-0.014	0.092132255	1	
KCNK7	-0.878057343	0.002	0.006	-0.004	0.333723268	1	
RP1-151F17.1	-0.878406785	0.024	0.056	-0.032	0.038880105	1	
PAN3	-0.878996181	0.044	0.106	-0.062	0.002417805	1	
ANXA2	-0.879231645	0.486	0.719	-0.233	4.57E-15	8.41E-11	
PRG4	-0.879411599	0.005	0.012	-0.007	0.319317267	1	
FAM234A	-0.880316408	0.028	0.075	-0.047	0.006052575	1	
LINC00886	-0.880368035	0.002	0.012	-0.01	0.059195369	1	
LDHB	-0.880764078	0.786	0.938	-0.152	5.60E-32	1.03E-27	
OGT	-0.880853704	0.239	0.412	-0.173	9.03E-07	0.016635429	
LYSMD4	-0.881043974	0.01	0.031	-0.021	0.055323743	1	
BRAP	-0.881576975	0.08	0.188	-0.108	9.01E-05	1	
TRRAP	-0.881639749	0.057	0.156	-0.099	5.30E-05	0.9763319	
MARK4	-0.881766961	0.017	0.038	-0.021	0.11890592	1	
PPM1N	-0.881908791	0.009	0.019	-0.01	0.276668909	1	
MYB	-0.884692964	0.014	0.05	-0.036	0.006183689	1	
SMAGP	-0.884836463	0.009	0.019	-0.01	0.272549293	1	
GIMAP4	-0.885152386	0.167	0.381	-0.214	4.97E-09	9.15E-05	
SLF1	-0.88686623	0.075	0.144	-0.069	0.004539907	1	
RP5-1068E13.7	-0.887132109	0.007	0.025	-0.018	0.05265956	1	
ADAM8	-0.888916066	0.096	0.188	-0.092	0.000694984	1	
LINC01152	-0.888919771	0	0.006	-0.006	0.058655064	1	
MYH15	-0.888919771	0	0.006	-0.006	0.058655064	1	
RP11-131L12.3	-0.888919771	0	0.006	-0.006	0.058655064	1	
RP11-700H6.1	-0.888919771	0	0.006	-0.006	0.058655064	1	
HJURP	-0.889054768	0	0.006	-0.006	0.058655064	1	
NBPF10	-0.890146993	0.009	0.031	-0.022	0.030554978	1	
PAXIP1	-0.890419179	0.017	0.044	-0.027	0.048078069	1	
CDKL4	-0.890852187	0.005	0.019	-0.014	0.093709724	1	
RP11-379H18.1	-0.890942321	0.012	0.031	-0.019	0.091189386	1	
PLAC8	-0.891436584	0.037	0.094	-0.057	0.002892222	1	
NADK	-0.892179657	0.024	0.062	-0.038	0.016286183	1	
ALDH4A1	-0.892445666	0.002	0.012	-0.01	0.059710659	1	
ANKRD28	-0.892859897	0.061	0.106	-0.045	0.036598779	1	
FHL1	-0.893367158	0.017	0.038	-0.021	0.118119384	1	
PCMTD2	-0.893645948	0.091	0.212	-0.121	2.41E-05	0.443322026	
RBM43	-0.89407703	0.054	0.138	-0.084	0.000318069	1	
POLR3F	-0.895171656	0.035	0.075	-0.04	0.024868665	1	
USP3	-0.89706824	0.188	0.394	-0.206	7.79E-09	0.000143551	
WDR13	-0.897420338	0.07	0.162	-0.092	0.000235936	1	
C17orf51	-0.89889081	0	0.006	-0.006	0.058655064	1	
SMCHD1	-0.900079427	0.401	0.731	-0.33	2.17E-18	4.00E-14	
HIST1H2BE	-0.900886519	0.002	0.012	-0.01	0.059710659	1	
CTD-3193K9.4	-0.901138874	0.002	0.012	-0.01	0.060229663	1	
GPR155	-0.902342782	0.073	0.181	-0.108	4.94E-05	0.91062358	
FSCN3	-0.902717872	0.002	0.006	-0.004	0.333723268	1	
CPTP	-0.903236552	0.049	0.1	-0.051	0.013043619	1	
AQP3	-0.904252383	0.364	0.594	-0.23	3.90E-10	7.18E-06	
SUSD4	-0.904723536	0	0.012	-0.012	0.007403874	1	
NOSIP	-0.905214461	0.319	0.462	-0.143	1.73E-06	0.031963674	
ZNF836	-0.90787627	0.08	0.194	-0.114	3.12E-05	0.574120845	
NAAA	-0.908025731	0.174	0.35	-0.176	3.39E-07	0.006239868	
TTC32	-0.909008997	0.103	0.25	-0.147	8.74E-07	0.01610419	
FLJ13224	-0.909277747	0.003	0.019	-0.016	0.037887603	1	
IFITM1	-0.909898724	0.516	0.762	-0.246	2.69E-15	4.97E-11	
ZYX	-0.911722337	0.289	0.575	-0.286	2.33E-13	4.29E-09	
PPP1R3B	-0.911912594	0.019	0.05	-0.031	0.029683945	1	
TBXAS1	-0.912313543	0.028	0.088	-0.06	0.000830024	1	
DEPTOR	-0.91308675	0	0.006	-0.006	0.058655064	1	
GYLTL1B	-0.91308675	0	0.006	-0.006	0.058655064	1	
HLA-DQB1-AS1	-0.91308675	0	0.006	-0.006	0.058655064	1	
RP11-367N14.2	-0.913923286	0.002	0.012	-0.01	0.059710659	1	
JSRP1	-0.914055749	0.007	0.019	-0.012	0.174222356	1	
SH2D6	-0.914661833	0	0.006	-0.006	0.058655064	1	
PRKX	-0.915045433	0.075	0.188	-0.113	2.20E-05	0.405554562	
ACTN1	-0.915827787	0.023	0.069	-0.046	0.003899114	1	
CD52	-0.916050585	0.963	1	-0.037	1.97E-51	3.63E-47	
IGHV3-7	-0.916098775	0	0.006	-0.006	0.058655064	1	
IGLV2-18	-0.916098775	0	0.006	-0.006	0.058655064	1	
RP11-449J21.5	-0.916098775	0	0.006	-0.006	0.058655064	1	
ZNF391	-0.916098775	0	0.006	-0.006	0.058655064	1	
E2F2	-0.916413679	0.002	0.012	-0.01	0.059195369	1	
AC093818.1	-0.917016367	0.028	0.081	-0.053	0.00225939	1	
ZFYVE9	-0.917592715	0	0.012	-0.012	0.007403874	1	
RP11-568N6.1	-0.918337569	0.009	0.025	-0.016	0.096908674	1	
BIN2	-0.918756875	0.401	0.694	-0.293	8.38E-17	1.54E-12	
SMYD2	-0.918965949	0.084	0.181	-0.097	0.000204206	1	
PHEX	-0.919277103	0	0.006	-0.006	0.058655064	1	
UBR2	-0.91941179	0.125	0.288	-0.163	4.84E-07	0.00892086	
DNHD1	-0.919532553	0.007	0.012	-0.005	0.486340522	1	
TROAP	-0.920400447	0.003	0.019	-0.016	0.038438328	1	
TMEM192	-0.921297258	0.019	0.044	-0.025	0.073562467	1	
HRSP12	-0.921562324	0.04	0.106	-0.066	0.001141819	1	
CTC1	-0.923430169	0.049	0.112	-0.063	0.002813456	1	
DSTN	-0.924004011	0.193	0.394	-0.201	9.15E-09	0.000168649	
GNG7	-0.924371943	0.002	0.006	-0.004	0.333723268	1	
RP11-497H16.9	-0.92451826	0.003	0.019	-0.016	0.038162121	1	
ALG10B	-0.924579099	0.017	0.044	-0.027	0.049186864	1	
RP13-516M14.1	-0.926121338	0.002	0.012	-0.01	0.059710659	1	
WDFY2	-0.927032044	0.054	0.125	-0.071	0.001439272	1	
NR2C1	-0.928063838	0.037	0.112	-0.075	0.000181911	1	
KIAA2013	-0.928128971	0.019	0.044	-0.025	0.072304864	1	
C9orf47	-0.928807027	0	0.006	-0.006	0.058655064	1	
RP1-168L15.5	-0.928807027	0	0.006	-0.006	0.058655064	1	
RP11-20I23.8	-0.928807027	0	0.006	-0.006	0.058655064	1	
IGKV1-39	-0.930738465	0	0.006	-0.006	0.058655064	1	
SETD1A	-0.931057619	0.014	0.044	-0.03	0.01846968	1	
EID2	-0.931300669	0.017	0.044	-0.027	0.047895327	1	
FBLN5	-0.932485343	0.003	0.012	-0.009	0.169484028	1	
MICU3	-0.932504424	0.002	0.006	-0.004	0.333723268	1	
ZNF555	-0.933301524	0.003	0.012	-0.009	0.170513069	1	
RP11-603J24.5	-0.933427014	0	0.006	-0.006	0.058655064	1	
TRAJ37	-0.933427014	0	0.006	-0.006	0.058655064	1	
CENPO	-0.933736529	0.005	0.025	-0.02	0.023180555	1	
LL0XNC01-7P3.1	-0.938096533	0	0.006	-0.006	0.058655064	1	
MEIOC	-0.938395806	0.003	0.006	-0.003	0.626634151	1	
ABAT	-0.938676719	0.03	0.062	-0.032	0.047256776	1	
RP11-333E1.1	-0.938769986	0.003	0.012	-0.009	0.170513069	1	
NSMF	-0.939324164	0.009	0.019	-0.01	0.274603825	1	
LL22NC03-2H8.5	-0.939762656	0.002	0.012	-0.01	0.060229663	1	
TRAV8-3	-0.941575581	0.042	0.094	-0.052	0.007958694	1	
C1orf220	-0.941593525	0	0.006	-0.006	0.058655064	1	
HOMEZ	-0.942047455	0.019	0.05	-0.031	0.02877578	1	
STX2	-0.942729653	0.019	0.056	-0.037	0.010802977	1	
RP3-400B16.1	-0.94296954	0	0.006	-0.006	0.058655064	1	
CACNA1C-AS1	-0.943105218	0.005	0.019	-0.014	0.093181511	1	
CMPK2	-0.944862444	0.003	0.019	-0.016	0.038162121	1	
AC109826.1	-0.945029079	0.01	0.044	-0.034	0.004846109	1	
DLAT	-0.945655425	0.024	0.069	-0.045	0.006361537	1	
ICAM4	-0.945888681	0	0.006	-0.006	0.058655064	1	
LINC01144	-0.946197089	0	0.006	-0.006	0.058655064	1	
SYCE2	-0.946197089	0	0.006	-0.006	0.058655064	1	
CDK11A	-0.946643541	0.118	0.269	-0.151	1.36E-06	0.025072751	
LINC01431	-0.947378843	0.005	0.025	-0.02	0.023029174	1	
LGMN	-0.947578262	0.012	0.031	-0.019	0.090822232	1	
TRAV41	-0.948105135	0.026	0.025	0.001	0.95782614	1	
NME1-NME2	-0.948554046	0.003	0.012	-0.009	0.170513069	1	
CCDC157	-0.950824076	0.003	0.012	-0.009	0.170513069	1	
DLGAP1-AS2	-0.951570156	0.014	0.05	-0.036	0.005847464	1	
RUFY3	-0.951780463	0.005	0.012	-0.007	0.319317267	1	
RP11-304L19.13	-0.951860036	0.009	0.025	-0.016	0.096464538	1	
ZNF48	-0.951882292	0.007	0.019	-0.012	0.171852722	1	
CTC-281F24.1	-0.951941834	0	0.006	-0.006	0.058655064	1	
TGM1	-0.951941834	0	0.006	-0.006	0.058655064	1	
EAF2	-0.954576006	0.023	0.05	-0.027	0.062777917	1	
NBPF9	-0.954906115	0.024	0.062	-0.038	0.015864502	1	
CERS6	-0.956349965	0.019	0.05	-0.031	0.02877578	1	
CAPN15	-0.957391335	0.019	0.069	-0.05	0.001159018	1	
RP11-340I6.8	-0.958237319	0	0.006	-0.006	0.058655064	1	
RP11-477N3.1	-0.958237319	0	0.006	-0.006	0.058655064	1	
TRAT1	-0.9586573	0.087	0.2	-0.113	4.28E-05	0.788858628	
AGO4	-0.9587099	0.012	0.031	-0.019	0.091557732	1	
PTAR1	-0.95953526	0.108	0.256	-0.148	1.24E-06	0.022823373	
ACSL6	-0.95985079	0.005	0.044	-0.039	0.000221107	1	
RP11-327F22.4	-0.960780662	0	0.006	-0.006	0.058655064	1	
CNN2	-0.961621315	0.596	0.844	-0.248	1.89E-22	3.48E-18	
RAPGEF1	-0.962216918	0.045	0.119	-0.074	0.000643001	1	
RP11-474G23.2	-0.962438547	0.005	0.031	-0.026	0.005196315	1	
C8orf44	-0.962548343	0.026	0.081	-0.055	0.001390658	1	
TSC1	-0.96261176	0.031	0.081	-0.05	0.005498731	1	
TVP23C-CDRT4	-0.962643765	0.007	0.025	-0.018	0.052089762	1	
RP11-430G17.3	-0.964792263	0.002	0.006	-0.004	0.333723268	1	
RP11-276M12.1	-0.96483332	0	0.012	-0.012	0.007403874	1	
ATAD2	-0.967847952	0.08	0.169	-0.089	0.000582409	1	
ANKRD16	-0.968084569	0.003	0.012	-0.009	0.169484028	1	
GRAMD1C	-0.968505619	0.002	0.019	-0.017	0.010001206	1	
AC009299.2	-0.968823122	0	0.006	-0.006	0.058655064	1	
TPTEP1	-0.968823122	0	0.006	-0.006	0.058655064	1	
ARHGAP21	-0.969413869	0.012	0.038	-0.026	0.031485729	1	
ZNF829	-0.969620057	0.002	0.012	-0.01	0.059710659	1	
KIAA0226L	-0.969797974	0	0.006	-0.006	0.058655064	1	
PIGR	-0.969797974	0	0.006	-0.006	0.058655064	1	
TMEM244	-0.974217777	0.003	0.019	-0.016	0.038162121	1	
WDR11-AS1	-0.976366685	0.002	0.006	-0.004	0.333723268	1	
RGS12	-0.979006159	0.007	0.012	-0.005	0.486340522	1	
RP5-882C2.2	-0.979311614	0.005	0.012	-0.007	0.320757524	1	
TRBV7-7	-0.980009845	0.017	0.025	-0.008	0.515418479	1	
CENPK	-0.980466161	0.071	0.156	-0.085	0.000751963	1	
C5orf24	-0.982811268	0.078	0.206	-0.128	3.05E-06	0.05628425	
HUS1B	-0.983140865	0.002	0.006	-0.004	0.333723268	1	
SORT1	-0.983628659	0.003	0.012	-0.009	0.169484028	1	
RNF126	-0.983821731	0.159	0.369	-0.21	2.15E-09	3.96E-05	
RP11-23N2.4	-0.984510773	0	0.006	-0.006	0.058655064	1	
AKAP17A	-0.984666535	0.042	0.1	-0.058	0.003402757	1	
SGTB	-0.98529416	0.178	0.369	-0.191	2.79E-08	0.000514912	
TRBV13	-0.985415516	0.007	0.012	-0.005	0.489732658	1	
RASSF6	-0.98568843	0	0.006	-0.006	0.058655064	1	
ALDH16A1	-0.98595872	0.047	0.131	-0.084	0.000136951	1	
MAPK3	-0.987238678	0.047	0.125	-0.078	0.000328839	1	
RP11-160E2.19	-0.987376086	0	0.006	-0.006	0.058655064	1	
STX18-AS1	-0.988134451	0.01	0.038	-0.028	0.017259374	1	
MNT	-0.988282907	0.023	0.062	-0.039	0.009973323	1	
KRT8	-0.988730711	0	0.006	-0.006	0.058655064	1	
RHOU	-0.989117671	0.002	0.006	-0.004	0.333723268	1	
RP11-196G11.6	-0.991452045	0	0.006	-0.006	0.058655064	1	
FAM153B	-0.991878691	0.002	0.012	-0.01	0.060229663	1	
TRBV7-4	-0.994354293	0.016	0.031	-0.015	0.198851074	1	
DTD2	-0.994889292	0.021	0.062	-0.041	0.006614744	1	
CLUAP1	-0.995204442	0.019	0.062	-0.043	0.003676568	1	
AC009950.2	-0.995736698	0	0.006	-0.006	0.058655064	1	
AF011889.5	-0.995736698	0	0.006	-0.006	0.058655064	1	
AC003002.6	-0.99637589	0.002	0.006	-0.004	0.333723268	1	
SERPINF2	-0.99780759	0	0.006	-0.006	0.058655064	1	
TXNDC5	-0.998152111	0.002	0.012	-0.01	0.059710659	1	
C20orf197	-1.000438649	0.002	0.006	-0.004	0.333723268	1	
JRK	-1.000644895	0.01	0.025	-0.015	0.160398198	1	
FOXB1	-1.002183512	0.003	0.006	-0.003	0.626634151	1	
TRAV38-1	-1.003241438	0.016	0.025	-0.009	0.422639297	1	
LNX2	-1.004535575	0.003	0.025	-0.022	0.007840713	1	
RP11-195C7.1	-1.005342223	0.003	0.019	-0.016	0.037887603	1	
TRG-AS1	-1.006026123	0.052	0.125	-0.073	0.000936969	1	
FXYD7	-1.006740339	0.03	0.069	-0.039	0.020551441	1	
SNHG21	-1.009149763	0.037	0.1	-0.063	0.00110895	1	
XXbac-BPG181M17.6	-1.009606646	0.002	0.006	-0.004	0.333723268	1	
RP11-603J24.4	-1.009721069	0	0.006	-0.006	0.058655064	1	
TREM1	-1.011257692	0.002	0.006	-0.004	0.333723268	1	
TJP2	-1.011432527	0.003	0.012	-0.009	0.169484028	1	
PARPBP	-1.011710634	0.016	0.044	-0.028	0.031269109	1	
HSD11B1L	-1.012054976	0.005	0.019	-0.014	0.092132255	1	
UBL3	-1.012195529	0.155	0.35	-0.195	1.45E-08	0.000268003	
EDEM1	-1.012963238	0.057	0.15	-0.093	0.000112925	1	
PDE3B	-1.013018367	0.108	0.312	-0.204	2.33E-10	4.29E-06	
TRAJ42	-1.014178923	0	0.006	-0.006	0.058655064	1	
SNX22	-1.014241638	0.002	0.012	-0.01	0.059710659	1	
RP11-517P14.2	-1.014364685	0.002	0.012	-0.01	0.060229663	1	
IL11RA	-1.017628945	0.009	0.038	-0.029	0.008300886	1	
PRKCB	-1.017746529	0.068	0.162	-0.094	0.000154907	1	
ZHX3	-1.018450869	0.002	0.012	-0.01	0.059710659	1	
